# tools/bin/cassandra-stress write n=1000 -pop dist=UNIFORM\(1..1000000\) -rate threads=2
# time thread_id key
10:00:16.755 3 5490793089977889841
10:00:16.755 2 5425516260971327536
10:00:16.791 3 5492480917148093232
10:00:16.791 2 3625172640732100145
10:00:16.794 3 5418456185576574512
10:00:16.795 2 5785803153191423536
10:00:16.797 3 4128455267800069936
10:00:16.798 2 3976765672952640561
10:00:16.800 3 5562569191423030833
10:00:16.801 2 4122260752500273201
10:00:16.802 3 3984619484507943728
10:00:16.803 2 4122257329377589040
10:00:16.804 3 4123130452858255408
10:00:16.805 2 4122264042426480176
10:00:16.806 3 5490539068447536433
10:00:16.807 2 5715124231121481776
10:00:16.808 3 3553427213136508209
10:00:16.809 2 5426642079240368177
10:00:16.810 3 3761405416744825649
10:00:16.812 2 3472925468515971120
10:00:16.812 3 3841348596875147568
10:00:16.814 2 3760558793158900016
10:00:16.814 3 3690198733354848304
10:00:16.816 2 4049356517243564592
10:00:16.817 3 5706711966105810992
10:00:16.818 2 5635753879417278000
10:00:16.819 3 3840499889846367280
10:00:16.820 2 3691040972146487856
10:00:16.821 3 3984366587841231152
10:00:16.822 2 5634089133316518448
10:00:16.823 3 3546078077382832688
10:00:16.825 3 3760563204107350065
10:00:16.826 2 5563975458658136881
10:00:16.828 3 3472618575921428272
10:00:16.829 2 3545802185947237424
10:00:16.830 2 5419015870985681200
10:00:16.830 3 3552271716627008304
10:00:16.832 2 3761691178097522225
10:00:16.832 3 5634622374527709488
10:00:16.834 2 5706145726627001905
10:00:16.836 2 5778202100358918448
10:00:16.837 3 5779332389739180592
10:00:16.838 2 4120856671470695984
10:00:16.838 3 3978145448055617073
10:00:16.840 2 5491356134435867952
10:00:16.840 3 3480775874263265841
10:00:16.842 2 3913122632457861168
10:00:16.843 3 5786928954329280816
10:00:16.844 2 4049072744023273777
10:00:16.845 3 5425518472844103216
10:00:16.846 2 5636596126681806385
10:00:16.847 3 5708682188216152624
10:00:16.849 2 5563692995369127728
10:00:16.849 3 5571039820797981745
10:00:16.851 3 5642226609865832496
10:00:16.851 2 3618981174823891249
10:00:16.853 3 4123108368591047984
10:00:16.853 2 4056676945016336945
10:00:16.855 3 4129326205091459120
10:00:16.855 2 3697230221413791536
10:00:16.856 3 5418172524042072625
10:00:16.857 2 3544667391079494704
10:00:16.858 3 4056957333450273585
10:00:16.859 2 5490795250294599728
10:00:16.860 3 3546107729787040560
10:00:16.860 2 3616733759718699312
10:00:16.862 3 4121441491397654832
10:00:16.862 2 3761434008726614577
10:00:16.864 3 3834594305504130608
10:00:16.864 2 5419859192461668912
10:00:16.865 3 3978455506444171312
10:00:16.866 2 3978421408261159216
10:00:16.868 2 4050789185256698928
10:00:16.868 3 3768160721998525232
10:00:16.869 3 3984647977406773040
10:00:16.870 2 4048823249825517104
10:00:16.871 2 5426644368944352816
10:00:16.872 3 3832903368256270640
10:00:16.873 2 3834309514844517424
10:00:16.874 3 3474581320627206448
10:00:16.874 2 5635215135798998832
10:00:16.876 3 3480239312942872368
10:00:16.877 2 4123388842840247600
10:00:16.878 3 3545240211253638192
10:00:16.879 2 4051046371690034225
10:00:16.881 2 3696945456525554225
10:00:16.882 3 5636308050860128048
10:00:16.882 2 4057806263784322609
10:00:16.884 3 5418167035038413872
10:00:16.884 2 3985487965115331376
10:00:16.886 3 3977888265734402352
10:00:16.886 2 5571006835129857585
10:00:16.888 3 5708651422964003377
10:00:16.889 2 3913121537610691120
10:00:16.890 3 4128730141093082672
10:00:16.891 2 4122542119563835440
10:00:16.892 3 3546668515211168816
10:00:16.892 2 5636060549042943536
10:00:16.893 3 5426357284252037424
10:00:16.894 2 5706121545895660336
10:00:16.895 3 3769572482043825200
10:00:16.896 2 4051041969450596400
10:00:16.897 3 5779869072190746673
10:00:16.898 2 3761686900244500528
10:00:16.899 3 5635750482081827632
10:00:16.899 2 4050793467322053169
10:00:16.901 3 3688784773868565553
10:00:16.901 2 3769574672057643568
10:00:16.903 3 3624896538371968048
10:00:16.903 2 5419018168709106480
10:00:16.905 3 3691040958827017776
10:00:16.905 2 3763095250503545648
10:00:16.906 3 4057239912218046512
10:00:16.911 3 5643071052393821232
10:00:16.911 2 3545795593543430704
10:00:16.913 3 5492503895306745392
10:00:16.913 2 4129044726289747504
10:00:16.914 3 3697541293498185264
10:00:16.915 2 5779023551641170736
10:00:16.916 3 3474582415426342448
10:00:16.917 2 5489944258359211569
10:00:16.918 2 3474613197826051632
10:00:16.918 3 5562314104757629232
10:00:16.920 3 5564538434363076912
10:00:16.921 2 3553395322987301936
10:00:16.923 3 5641691259370223153
10:00:16.923 2 5785804248424657456
10:00:16.925 3 5708682209759408433
10:00:16.926 2 3480526259689115696
10:00:16.928 3 5642249678068003376
10:00:16.928 2 3689636895361544752
10:00:16.929 3 5706964742111050032
10:00:16.930 2 5563999639288892464
10:00:16.931 3 5635498801227378992
10:00:16.932 3 5708090663880045616
10:00:16.932 2 3617576110213247537
10:00:16.933 3 4050509801929126961
10:00:16.934 2 5426617860070586416
10:00:16.934 3 3833743291757113392
10:00:16.936 3 5498414891241983536
10:00:16.937 3 3544677282474774320
10:00:16.937 2 3544954367892337968
10:00:16.939 3 3840497578685510192
10:00:16.940 3 5636597097797006129
10:00:16.941 2 3985768460972143664
10:00:16.942 3 3480239308277231920
10:00:16.943 2 3624895465084891441
10:00:16.944 3 5562281102630997040
10:00:16.946 2 3472360298500666928
10:00:16.948 2 5636338819571666480
10:00:16.950 3 3905801985306603824
10:00:16.950 2 4121162215829746224
10:00:16.952 3 5708092858573147184
10:00:16.952 2 4122288231212856880
10:00:16.953 3 3913710755214544176
